month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,cat,date,year,t,ln_p,ln_q,oversub,d_ln_p,d_ln_q,ln_p_lag
2020-09,1,Category D,496,488,691,7399,D,2020-09-01,2020,10.666666666666666,8.90910013492555,6.206575926724928,1.3931451612903225,-0.004450145568124952,0.0020181641562375674,8.913550280493675
2020-09,2,Category D,494,492,642,7331,D,2020-09-15,2020,10.708333333333332,8.899867211223587,6.202535517187923,1.2995951417004048,-0.009232923701963713,-0.004040409537005019,8.90910013492555
2020-10,1,Category D,429,420,677,7451,D,2020-10-01,2020,10.75,8.916103530553727,6.061456918928017,1.578088578088578,0.016236319330140248,-0.14107859825990587,8.899867211223587
2020-10,2,Category D,423,410,560,7300,D,2020-10-15,2020,10.791666666666666,8.895629627136483,6.0473721790462776,1.3238770685579195,-0.020473903417244088,-0.014084739881739416,8.916103530553727
2020-11,1,Category D,533,532,727,7251,D,2020-11-01,2020,10.833333333333334,8.888894669371593,6.278521424165844,1.3639774859287055,-0.0067349577648894154,0.2311492451195667,8.895629627136483
2020-11,2,Category D,537,532,679,7300,D,2020-11-15,2020,10.875,8.895629627136483,6.285998094508865,1.2644320297951583,0.0067349577648894154,0.007476670343020686,8.888894669371593
2020-12,1,Category D,526,522,767,7670,D,2020-12-01,2020,10.916666666666666,8.945071894361302,6.26530121273771,1.4581749049429658,0.04944226722481915,-0.020696881771154807,8.895629627136483
2020-12,2,Category D,530,507,710,7689,D,2020-12-15,2020,10.958333333333332,8.94754601503218,6.272877006546167,1.3396226415094339,0.002474120670878932,0.0075757938084572984,8.945071894361302
2021-01,1,Category D,529,498,692,7501,D,2021-01-01,2021,11.0,8.922791623969637,6.270988431858299,1.3081285444234405,-0.024754391062543846,-0.001888574687868072,8.94754601503218
2021-01,2,Category D,548,535,706,7589,D,2021-01-15,2021,11.041666666666666,8.934455109403913,6.306275286948016,1.2883211678832116,0.01166348543427631,0.03528685508971652,8.922791623969637
2021-02,1,Category D,572,572,705,7506,D,2021-02-01,2021,11.083333333333334,8.923457979694966,6.349138991379798,1.2325174825174825,-0.010997129708947284,0.04286370443178189,8.934455109403913
2021-02,2,Category D,554,554,715,7500,D,2021-02-15,2021,11.125,8.922658299524402,6.317164686747284,1.2906137184115523,-0.0007996801705640877,-0.03197430463251383,8.923457979694966
2021-03,1,Category D,542,524,707,7752,D,2021-03-01,2021,11.166666666666666,8.955706153570603,6.295266001439646,1.3044280442804428,0.0330478540462007,-0.0218986853076375,8.922658299524402
2021-03,2,Category D,542,538,700,7791,D,2021-03-15,2021,11.208333333333332,8.960724500330858,6.295266001439646,1.2915129151291513,0.00501834676025581,0.0,8.955706153570603
2021-04,1,Category D,560,524,735,8000,D,2021-04-01,2021,11.25,8.987196820661973,6.327936783729195,1.3125,0.026472320331114574,0.03267078228954823,8.960724500330858
2021-04,2,Category D,546,532,734,8000,D,2021-04-15,2021,11.291666666666666,8.987196820661973,6.302618975744905,1.3443223443223444,0.0,-0.02531780798428951,8.987196820661973
2021-05,1,Category D,650,639,901,8011,D,2021-05-01,2021,11.333333333333334,8.988570876215118,6.476972362889683,1.386153846153846,0.0013740555531445153,0.17435338714477755,8.987196820661973
2021-05,2,Category D,628,625,904,8701,D,2021-05-15,2021,11.375,9.071193240566025,6.4425401664681985,1.4394904458598725,0.08262236435090742,-0.03443219642148421,8.988570876215118
2021-06,1,Category D,626,624,776,8703,D,2021-06-01,2021,11.416666666666666,9.071423072789514,6.439350371100098,1.2396166134185302,0.00022983222348926802,-0.0031897953681001567,9.071193240566025
2021-06,2,Category D,618,577,864,8501,D,2021-06-15,2021,11.458333333333332,9.04793908261736,6.42648845745769,1.3980582524271845,-0.023483990172154634,-0.012861913642407963,9.071423072789514
2021-07,1,Category D,616,612,760,8502,D,2021-07-01,2021,11.5,9.048056708918736,6.423246963533519,1.2337662337662338,0.00011762630137646113,-0.003241493924170946,9.04793908261736
